match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstbaron_team
ESPORTSTMNT01_3410017,Cloud9,Evil Geniuses,LCS,2023-08-05 23:03:26,Cloud9,1681,Evil Geniuses,1
ESPORTSTMNT01_3410273,NRG Kia,Golden Guardians,LCS,2023-08-06 22:02:09,NRG Kia,2254,NRG Kia,0
ESPORTSTMNT01_3410276,Golden Guardians,NRG Kia,LCS,2023-08-06 23:58:34,NRG Kia,1746,NRG Kia,1
ESPORTSTMNT01_3411210,Golden Guardians,NRG Kia,LCS,2023-08-06 21:06:21,NRG Kia,1979,Golden Guardians,0
ESPORTSTMNT01_3412203,Golden Guardians,NRG Kia,LCS,2023-08-06 23:00:27,Golden Guardians,1960,Golden Guardians,1
ESPORTSTMNT01_3412967,Team Liquid,Evil Geniuses,LCS,2023-08-10 21:59:34,Team Liquid,1269,Team Liquid,2
ESPORTSTMNT01_3412971,Team Liquid,Evil Geniuses,LCS,2023-08-10 23:37:02,Team Liquid,1456,Team Liquid,0
ESPORTSTMNT01_3413045,Team Liquid,Evil Geniuses,LCS,2023-08-10 22:45:12,Evil Geniuses,1837,Team Liquid,1
ESPORTSTMNT01_3413227,Dignitas,Golden Guardians,LCS,2023-08-11 22:00:15,Golden Guardians,1398,Golden Guardians,1
ESPORTSTMNT01_3413229,Dignitas,Golden Guardians,LCS,2023-08-11 22:46:09,Golden Guardians,1551,Dignitas,1
ESPORTSTMNT01_3413353,NRG Kia,Cloud9,LCS,2023-08-12 23:01:40,Cloud9,2519,Cloud9,0
ESPORTSTMNT01_3414014,Team Liquid,Evil Geniuses,LCS,2023-08-10 21:10:37,Team Liquid,1633,Team Liquid,0
ESPORTSTMNT01_3414314,Cloud9,NRG Kia,LCS,2023-08-12 21:06:34,Cloud9,2000,NRG Kia,0
ESPORTSTMNT01_3414318,NRG Kia,Cloud9,LCS,2023-08-12 22:03:24,Cloud9,2252,Cloud9,1
ESPORTSTMNT01_3414426,Golden Guardians,Team Liquid,LCS,2023-08-13 21:11:33,Team Liquid,1809,Team Liquid,0
ESPORTSTMNT01_3414439,Golden Guardians,Team Liquid,LCS,2023-08-13 22:48:05,Golden Guardians,1946,Golden Guardians,0
ESPORTSTMNT01_3414442,Golden Guardians,Team Liquid,LCS,2023-08-14 01:25:01,Team Liquid,2204,Golden Guardians,1
ESPORTSTMNT01_3415121,Golden Guardians,Dignitas,LCS,2023-08-11 21:06:55,Golden Guardians,1909,Golden Guardians,0
ESPORTSTMNT01_3415406,Golden Guardians,Team Liquid,LCS,2023-08-13 22:04:23,Team Liquid,1413,Golden Guardians,1
ESPORTSTMNT01_3415408,Team Liquid,Golden Guardians,LCS,2023-08-13 23:41:16,Golden Guardians,2261,Golden Guardians,1
ESPORTSTMNT01_3416179,NRG Kia,Team Liquid,LCS,2023-08-19 20:18:53,NRG Kia,1842,NRG Kia,1
ESPORTSTMNT01_3416186,Team Liquid,NRG Kia,LCS,2023-08-19 23:02:15,Team Liquid,1137,Team Liquid,2
ESPORTSTMNT01_3416273,NRG Kia,Cloud9,LCS,2023-08-20 21:14:20,NRG Kia,1958,NRG Kia,0
